#
# Lifetime for epoch 0019 made Thu Mar 22 08:27:57 2007
#
# dwab dwdelta = 0
# dwab dw_mult = 1.0000000599000001
# DWAB dw_mult = 1.0000000599000000
#
 601419988.000000        0.0 0019 0000 0000 0000   0.02100000 1.0000442400 6.1800e-07 # DW-9 Reset: Jan 26 21:06:15 1999 UTC
 611185664.057982    68461.2 0019 08e1 ee8b 8a60   0.05889259 0.9999294376 3.4629e-08 # Ping 1809 Fit 5
 611254125.281782        0.0 0019 08f1 ca30 eacf   6.07749684 1.0000000000 1.0000e-04 # Reboot T_IN:30000060 AUX:30000000
 611267210.566703   124015.2 0019 08f4 eb46 798c   0.47409562 1.0000081300 1.2384e-08 # Ping 1809 Fit 275
 611391080.977062        0.0 0019 0911 b660 eac9 150.95649355 1.0000000000 1.0000e-04 # Reboot T_IN:30000060 AUX:30000000
 611391080.977062        0.0 0019 0911 c2ee 2b49   3.79335403 1.0000000000 1.0000e-04 # Ping 1809
 611528325.212358        0.0 0019 0931 a280 eacc   6.24695240 1.0000000000 1.0000e-04 # Reboot T_IN:30000060 AUX:30000000
 611535468.166611   166799.7 0019 0933 616f e1ce   0.32664795 1.0000207464 5.6602e-08 # Ping 1809 Fit 9
 611702137.924701        0.0 0019 095a 22c0 ebcc 136.31693047 1.0000000000 1.0000e-04 # Reboot T_IN:30000060 AUX:30000000
 611702137.924701        0.0 0019 095a 2a43 5ecc   1.34039688 1.0000000000 1.0000e-04 # Ping 1809
 611702597.751226        0.0 0019 095a 3f90 ead0 159.86260371 1.0000000000 1.0000e-04 # Reboot T_IN:30000060 AUX:30000000
 611702597.751226   137252.9 0019 095a 45b3 5bf4   0.05099925 1.0000009647 1.3532e-09 # Ping 1809 Fit 156
 611839813.642954        0.0 0019 097a 2bb0 ecca  43.49713406 1.0000000000 1.0000e-04 # Reboot T_IN:30000060 AUX:30000000
 611839813.642954   127516.2 0019 097a 38b5 6e3e   0.04107858 1.0000009023 1.4240e-09 # Ping 1809 Fit 126
 611967329.882183        0.0 0019 0997 da60 ebcb   6.51825728 1.0000000000 1.0000e-04 # Reboot T_IN:30000060 AUX:30000000
 611971500.004877        0.0 0019 0998 df30 ecd0 211.91260309 1.0000000000 1.0000e-04 # Reboot T_IN:30000060 AUX:30000000
 611971500.004877   137304.8 0019 0998 e22f 216e   0.06286614 1.0000009402 1.6838e-09 # Ping 1809 Fit 174
 612108688.974618        0.0 0019 09b8 cb50 ecce 122.46861219 1.0000000000 1.0000e-04 # Reboot T_IN:30000060 AUX:30000000
 612108688.974618    19619.6 0019 09b8 d395 5998   0.11556306 1.0000065089 8.2300e-08 # Ping 1809 Fit 25
 612128308.536614        0.0 0019 09bd 55e0 ebca   6.61774209 1.0000000000 1.0000e-04 # Reboot T_IN:30000061 AUX:30000000
 612128366.533037        0.0 0019 09bd 60b0 ecce 130.01731415 1.0000000000 1.0000e-04 # Reboot T_IN:30000060 AUX:30000000
 612128366.533037    85037.5 0019 09bd 6880 506a   0.08023688 1.0000019937 5.5126e-09 # Ping 1809 Fit 95
